x,y
0,0
4.14,0.5
6.78,1.14
9,2
9.8,3.92
9.28,5.44
7.56,6.68
5.3,7.6
3,8.26
0.56,8.64
-1.66,8.8
-4,8.86
-5.92,8.5
-6.72,7.82
-7.08,6.68
-6.94,5.78
-6.16,4.94
-5.06,4.54
-3.22,4.16
-2.38,3.18
-2.82,2.18
-4.3,1.92
-6.98,1.56
-8.66,0.6
-8.74,-0.58
-8.08,-1.6
-6.86,-2.38
-5.04,-2.78
-2.72,-2.58
-0.6,-1.18
0.0, 0.0
